sample_id,policy_name,benchmark,prompt,response,ground_truth,timestamp,first_token_latency,avg_token_latency,generation_time,policy_overhead,throughput,total_tokens,exact_match,precision,recall,f1,rouge_1,rouge_2,rouge_l,semantic_similarity,prediction_length,reference_length,length_ratio,length_difference,customer_service_coverage,sales_coverage,support_coverage,retention_coverage,overall_keyword_coverage,analytical_coverage,structure_coverage,reasoning_depth
auto_00000,early_exit_28,crmarena,"### Persona
You are quality-focused, maintaining high standards and attention to detail in all work.

### Required context
## Lead qualification guide.
        Look for the voice call transcripts with the lead and relevant knowledge articles to justify the lead qualification.
        
        - Lead Id to be considered is: 00QWt0000089AekMAE

### Optional context
# Domain Details
## Quarters of the Year
- Q1: January 1 to March 31 (both inclusive).
- Q2: April 1 to June 30 (both inclusive).
- Q3: July 1 to September 30 (both inclusive).
- Q4: October 1 to December 31 (both inclusive).
## Seasons
- Winter (2024): December 1, 2024 to February 28/29, 2025 (both inclusive), specifying the year to avoid ambiguity.
- Spring: March 1 to May 31 (both inclusive).
- Summer: June 1 to August 31 (both inclusive).
- Autumn/Fall: September 1 to November 30 (both inclusive).
## Time Periods
- Past 2 quarters: This refers to any timeframe spanning two quarters back from a specified `end_date`. (i.e. begins on the date calculated by subtracting six months from the end_date and ends on the end_date) That translates to a six-month period retrospectively from the `end_date`.
- Issue Significantly More Than Other Months: This means there is a month where the number of cases reported are larger than all other months.

### Question
Can this lead be qualified based on the latest discussions? If the answer is no, which factors—'Budget', 'Authority', 'Need', or 'Timeline'—are responsible? Return only one or several of the four BANT factors that the lead qualification fails to meet (i.e. 'Budget', 'Authority', 'Need', 'Timeline').","Thank you for contacting us. I understand your concern about ### Persona
You are quality-focused, maintaining h... We'll resolve this quickly.",Authority,1753655905.651916,0.28561036751832825,0.2788960100626339,6.421322588896274,0.03890520035704845,289.3974797899231,1858,0.0,0.4156141648715253,0.3454272876798055,0.37728424177576675,0.4891488793427673,0.30502247711223257,0.40251869493623343,0.44417649211874555,21,1,21.0,20,0.4198164522241673,0.774798548553679,0.7921353245541538,0.47687049960462674,0.6622501084440001,0.4797368682698333,0.5728869575217724,0.5864913762077686
auto_00001,early_exit_28,crmarena,"### Persona
You are detail-oriented and methodical, preferring structured processes and thorough documentation.

### Required context
## Lead qualification guide.
        Look for the voice call transcripts with the lead and relevant knowledge articles to justify the lead qualification.
        
        - Lead Id to be considered is: 00QWt00000897TuMAI

### Optional context
# Domain Details
## Quarters of the Year
- Q1: January 1 to March 31 (both inclusive).
- Q2: April 1 to June 30 (both inclusive).
- Q3: July 1 to September 30 (both inclusive).
- Q4: October 1 to December 31 (both inclusive).
## Seasons
- Winter (2024): December 1, 2024 to February 28/29, 2025 (both inclusive), specifying the year to avoid ambiguity.
- Spring: March 1 to May 31 (both inclusive).
- Summer: June 1 to August 31 (both inclusive).
- Autumn/Fall: September 1 to November 30 (both inclusive).
## Time Periods
- Past 2 quarters: This refers to any timeframe spanning two quarters back from a specified `end_date`. (i.e. begins on the date calculated by subtracting six months from the end_date and ends on the end_date) That translates to a six-month period retrospectively from the `end_date`.
- Issue Significantly More Than Other Months: This means there is a month where the number of cases reported are larger than all other months.

### Question
From the recent discussions with the lead, should this lead be classified as qualified? If not, which among 'Budget', 'Authority', 'Need', or 'Timeline' is the reason? Return only one or several of the four BANT factors that the lead qualification fails to meet (i.e. 'Budget', 'Authority', 'Need', 'Timeline').","Thank you for contacting us. I understand your concern about ### Persona
You are detail-oriented and methodical... We'll resolve this quickly.",Authority,1753655905.651993,0.268706334587874,0.2425395636409228,11.668065825711246,0.040403761657695485,351.8549985543119,4105,0.0,0.29022708091728205,0.24605999072542478,0.2663247973516376,0.38359010868679094,0.25166519229115153,0.30238233935770376,0.2613610763238302,21,1,21.0,20,0.46940110723571515,0.4087829856202504,0.8656797504518481,0.6610686017932824,0.5812879477692712,0.7186303546944371,0.7496692503275997,0.3732857732063646
auto_00002,early_exit_28,crmarena,"### Persona
You are customer-centric, prioritizing user experience and satisfaction in all initiatives.

### Required context
## Lead qualification guide.
        Look for the voice call transcripts with the lead and relevant knowledge articles to justify the lead qualification.
        
        - Lead Id to be considered is: 00QWt00000898l0MAA

### Optional context
# Domain Details
## Quarters of the Year
- Q1: January 1 to March 31 (both inclusive).
- Q2: April 1 to June 30 (both inclusive).
- Q3: July 1 to September 30 (both inclusive).
- Q4: October 1 to December 31 (both inclusive).
## Seasons
- Winter (2024): December 1, 2024 to February 28/29, 2025 (both inclusive), specifying the year to avoid ambiguity.
- Spring: March 1 to May 31 (both inclusive).
- Summer: June 1 to August 31 (both inclusive).
- Autumn/Fall: September 1 to November 30 (both inclusive).
## Time Periods
- Past 2 quarters: This refers to any timeframe spanning two quarters back from a specified `end_date`. (i.e. begins on the date calculated by subtracting six months from the end_date and ends on the end_date) That translates to a six-month period retrospectively from the `end_date`.
- Issue Significantly More Than Other Months: This means there is a month where the number of cases reported are larger than all other months.

### Question
Based on the lead's recent interactions, is this lead suitable for qualification? If not, which of 'Budget', 'Authority', 'Need', or 'Timeline' are the reasons for disqualification? Return only one or several of the four BANT factors that the lead qualification fails to meet (i.e. 'Budget', 'Authority', 'Need', 'Timeline').","Thank you for contacting us. I understand your concern about ### Persona
You are customer-centric, prioritizing... We'll resolve this quickly.",Timeline,1753655905.652051,0.280332542021358,0.2849241748530963,27.348129153065507,0.023198065910356874,324.48932867090366,8874,0.0,0.46133361953617025,0.5038661295364072,0.48166275534999675,0.6182707928686649,0.36958114014165944,0.5039531918611666,0.5595125456689555,20,1,20.0,19,0.7500610911995473,0.7115885047259509,0.7903307107075241,0.5178789462777689,0.7506601022110075,0.533724484110015,0.6710015373328815,0.5929149996672706
auto_00003,early_exit_28,crmarena,"### Persona
You are detail-oriented and methodical, preferring structured processes and thorough documentation.

### Required context
## Lead qualification guide.
        Look for the voice call transcripts with the lead and relevant knowledge articles to justify the lead qualification.
        
        - Lead Id to be considered is: 00QWt000008989sMAA

### Optional context
# Domain Details
## Quarters of the Year
- Q1: January 1 to March 31 (both inclusive).
- Q2: April 1 to June 30 (both inclusive).
- Q3: July 1 to September 30 (both inclusive).
- Q4: October 1 to December 31 (both inclusive).
## Seasons
- Winter (2024): December 1, 2024 to February 28/29, 2025 (both inclusive), specifying the year to avoid ambiguity.
- Spring: March 1 to May 31 (both inclusive).
- Summer: June 1 to August 31 (both inclusive).
- Autumn/Fall: September 1 to November 30 (both inclusive).
## Time Periods
- Past 2 quarters: This refers to any timeframe spanning two quarters back from a specified `end_date`. (i.e. begins on the date calculated by subtracting six months from the end_date and ends on the end_date) That translates to a six-month period retrospectively from the `end_date`.
- Issue Significantly More Than Other Months: This means there is a month where the number of cases reported are larger than all other months.

### Question
After reviewing the lead's recent discussions, should this lead be considered qualified? If they are not, which of the following factors are reasons: 'Budget', 'Authority', 'Need', or 'Timeline'? Return only one or several of the four BANT factors that the lead qualification fails to meet (i.e. 'Budget', 'Authority', 'Need', 'Timeline').","Thank you for contacting us. I understand your concern about ### Persona
You are detail-oriented and methodical... We'll resolve this quickly.",Authority,1753655905.652123,0.24979939806376555,0.20149729841345543,14.354610287005647,0.03683322241250623,268.2882990545204,3851,0.0,0.3877206449179577,0.3210072636082664,0.3512240502236145,0.4687192141999221,0.33805955498104695,0.3776076250002399,0.341526735431726,21,1,21.0,20,0.6296950894185285,0.7003066206647548,0.5066979628840853,0.39850691875950667,0.6122332243224562,0.607588065961693,0.6816363484353033,0.5869823567072368
auto_00004,early_exit_28,crmarena,"### Persona
You are risk-aware, carefully evaluating potential challenges before implementing changes.

### Required context
## Lead qualification guide.
        Look for the voice call transcripts with the lead and relevant knowledge articles to justify the lead qualification.
        
        - Lead Id to be considered is: 00QWt0000089CF3MAM

### Optional context
# Domain Details
## Quarters of the Year
- Q1: January 1 to March 31 (both inclusive).
- Q2: April 1 to June 30 (both inclusive).
- Q3: July 1 to September 30 (both inclusive).
- Q4: October 1 to December 31 (both inclusive).
## Seasons
- Winter (2024): December 1, 2024 to February 28/29, 2025 (both inclusive), specifying the year to avoid ambiguity.
- Spring: March 1 to May 31 (both inclusive).
- Summer: June 1 to August 31 (both inclusive).
- Autumn/Fall: September 1 to November 30 (both inclusive).
## Time Periods
- Past 2 quarters: This refers to any timeframe spanning two quarters back from a specified `end_date`. (i.e. begins on the date calculated by subtracting six months from the end_date and ends on the end_date) That translates to a six-month period retrospectively from the `end_date`.
- Issue Significantly More Than Other Months: This means there is a month where the number of cases reported are larger than all other months.

### Question
Should this lead be considered qualified based on their recent discussions? If not, which of the criteria 'Budget', 'Authority', 'Need', or 'Timeline' are causing disqualification? Return only one or several of the four BANT factors that the lead qualification fails to meet (i.e. 'Budget', 'Authority', 'Need', 'Timeline').","Thank you for contacting us. I understand your concern about ### Persona
You are risk-aware, carefully evaluati... We'll resolve this quickly.",Budget,1753655905.652179,0.17967281159403492,0.18702564585439777,8.96987816675073,0.01100085780591343,329.6628483297709,2957,0.0,0.5638696495681351,0.5915716874703603,0.5773885863618344,0.7033476902022783,0.4466645769677056,0.5958088668658167,0.533791740337069,21,1,21.0,20,0.6647402712608765,0.5914694402494582,0.4573299545413216,0.6410044682124924,0.5711798886838855,0.6091717295946396,0.6659636145078686,0.4231605814811991
auto_00005,early_exit_28,crmarena,"### Persona
You are detail-oriented and methodical, preferring structured processes and thorough documentation.

### Required context
## Lead qualification guide.
        Look for the voice call transcripts with the lead and relevant knowledge articles to justify the lead qualification.
        
        - Lead Id to be considered is: 00QWt00000898BSMAY

### Optional context
# Domain Details
## Quarters of the Year
- Q1: January 1 to March 31 (both inclusive).
- Q2: April 1 to June 30 (both inclusive).
- Q3: July 1 to September 30 (both inclusive).
- Q4: October 1 to December 31 (both inclusive).
## Seasons
- Winter (2024): December 1, 2024 to February 28/29, 2025 (both inclusive), specifying the year to avoid ambiguity.
- Spring: March 1 to May 31 (both inclusive).
- Summer: June 1 to August 31 (both inclusive).
- Autumn/Fall: September 1 to November 30 (both inclusive).
## Time Periods
- Past 2 quarters: This refers to any timeframe spanning two quarters back from a specified `end_date`. (i.e. begins on the date calculated by subtracting six months from the end_date and ends on the end_date) That translates to a six-month period retrospectively from the `end_date`.
- Issue Significantly More Than Other Months: This means there is a month where the number of cases reported are larger than all other months.

### Question
Considering the lead's recent interactions, should we qualify this lead? If not, is it due to 'Budget', 'Authority', 'Need', or 'Timeline'? Return only one or several of the four BANT factors that the lead qualification fails to meet (i.e. 'Budget', 'Authority', 'Need', 'Timeline').","Thank you for contacting us. I understand your concern about ### Persona
You are detail-oriented and methodical... We'll resolve this quickly.",Authority,1753655905.652233,0.1933320703841576,0.16076314169351247,11.285988847236517,0.031174516907568978,322.9426808733861,3644,0.0,0.35632103500501167,0.3178404931658645,0.3359825464933931,0.3920039644576452,0.30948592516806717,0.3477845164419853,0.3981702359238794,21,1,21.0,20,0.8627707715331727,0.405074630575581,0.7965819389507192,0.5476412724871802,0.6881424470198243,0.44553726192075294,0.5488824378164511,0.6775324859855505
auto_00006,early_exit_28,crmarena,"### Persona
You are deadline-driven, working efficiently under pressure to meet time constraints.

### Required context
## Lead qualification guide.
        Look for the voice call transcripts with the lead and relevant knowledge articles to justify the lead qualification.
        
        - Lead Id to be considered is: 00QWt00000894kZMAQ

### Optional context
# Domain Details
## Quarters of the Year
- Q1: January 1 to March 31 (both inclusive).
- Q2: April 1 to June 30 (both inclusive).
- Q3: July 1 to September 30 (both inclusive).
- Q4: October 1 to December 31 (both inclusive).
## Seasons
- Winter (2024): December 1, 2024 to February 28/29, 2025 (both inclusive), specifying the year to avoid ambiguity.
- Spring: March 1 to May 31 (both inclusive).
- Summer: June 1 to August 31 (both inclusive).
- Autumn/Fall: September 1 to November 30 (both inclusive).
## Time Periods
- Past 2 quarters: This refers to any timeframe spanning two quarters back from a specified `end_date`. (i.e. begins on the date calculated by subtracting six months from the end_date and ends on the end_date) That translates to a six-month period retrospectively from the `end_date`.
- Issue Significantly More Than Other Months: This means there is a month where the number of cases reported are larger than all other months.

### Question
Is this lead qualified based on recent discussions, and if not, which among 'Budget', 'Authority', 'Need', or 'Timeline' are the reasons? Return only one or several of the four BANT factors that the lead qualification fails to meet (i.e. 'Budget', 'Authority', 'Need', 'Timeline').","Thank you for contacting us. I understand your concern about ### Persona
You are deadline-driven, working effic... We'll resolve this quickly.",Need,1753655905.652291,0.19647910794598286,0.19905367794384266,3.3813379550474654,0.013543543351584102,272.54998363833124,921,0.0,0.20408283871215988,0.1900681506224321,0.1968263369998448,0.2355808927664006,0.16037073120823137,0.20471408099466953,0.2027743550534444,21,1,21.0,20,0.6472882929662201,0.3789470334834082,0.4863385317782437,0.4842653676930594,0.5041912860759573,0.5679841717673391,0.7410537244830847,0.40042320684432725
auto_00007,early_exit_28,crmarena,"### Persona
You are accountability-driven, taking ownership of tasks and following through on commitments.

### Required context
## Lead qualification guide.
        Look for the voice call transcripts with the lead and relevant knowledge articles to justify the lead qualification.
        
        - Lead Id to be considered is: 00QWt00000895NIMAY

### Optional context
# Domain Details
## Quarters of the Year
- Q1: January 1 to March 31 (both inclusive).
- Q2: April 1 to June 30 (both inclusive).
- Q3: July 1 to September 30 (both inclusive).
- Q4: October 1 to December 31 (both inclusive).
## Seasons
- Winter (2024): December 1, 2024 to February 28/29, 2025 (both inclusive), specifying the year to avoid ambiguity.
- Spring: March 1 to May 31 (both inclusive).
- Summer: June 1 to August 31 (both inclusive).
- Autumn/Fall: September 1 to November 30 (both inclusive).
## Time Periods
- Past 2 quarters: This refers to any timeframe spanning two quarters back from a specified `end_date`. (i.e. begins on the date calculated by subtracting six months from the end_date and ends on the end_date) That translates to a six-month period retrospectively from the `end_date`.
- Issue Significantly More Than Other Months: This means there is a month where the number of cases reported are larger than all other months.

### Question
Can the lead be qualified considering their recent conversations? If not, identify whether 'Budget', 'Authority', 'Need', or 'Timeline' are contributing factors. Return only one or several of the four BANT factors that the lead qualification fails to meet (i.e. 'Budget', 'Authority', 'Need', 'Timeline').","Thank you for contacting us. I understand your concern about ### Persona
You are accountability-driven, taking ... We'll resolve this quickly.",None,1753655905.652368,0.3111307188896351,0.2845373232894158,4.863727891520288,0.020679340216107407,294.58444867591265,1432,0.0,0.6270574179937802,0.5913037577892909,0.6086559798182373,0.7020040917735603,0.46293936579935613,0.6352357991591051,0.6880825035395026,21,1,21.0,20,0.7012632104987175,0.26909473448639726,0.6107991584451891,0.44000113977183525,0.5270523678101012,0.46915703049871743,0.8820064450689865,0.48326017756401174
auto_00008,early_exit_28,crmarena,"### Persona
You are risk-aware, carefully evaluating potential challenges before implementing changes.

### Required context
## Lead qualification guide.
        Look for the voice call transcripts with the lead and relevant knowledge articles to justify the lead qualification.
        
        - Lead Id to be considered is: 00QWt00000897KSMAY

### Optional context
# Domain Details
## Quarters of the Year
- Q1: January 1 to March 31 (both inclusive).
- Q2: April 1 to June 30 (both inclusive).
- Q3: July 1 to September 30 (both inclusive).
- Q4: October 1 to December 31 (both inclusive).
## Seasons
- Winter (2024): December 1, 2024 to February 28/29, 2025 (both inclusive), specifying the year to avoid ambiguity.
- Spring: March 1 to May 31 (both inclusive).
- Summer: June 1 to August 31 (both inclusive).
- Autumn/Fall: September 1 to November 30 (both inclusive).
## Time Periods
- Past 2 quarters: This refers to any timeframe spanning two quarters back from a specified `end_date`. (i.e. begins on the date calculated by subtracting six months from the end_date and ends on the end_date) That translates to a six-month period retrospectively from the `end_date`.
- Issue Significantly More Than Other Months: This means there is a month where the number of cases reported are larger than all other months.

### Question
Considering the lead's recent interactions, is this lead qualified? If not, list the reasons among 'Budget', 'Authority', 'Need', or 'Timeline'. Return only one or several of the four BANT factors that the lead qualification fails to meet (i.e. 'Budget', 'Authority', 'Need', 'Timeline').","Thank you for contacting us. I understand your concern about ### Persona
You are risk-aware, carefully evaluati... We'll resolve this quickly.",None,1753655905.652425,0.25935670025311447,0.29446493053532174,4.087400797212297,0.03996389130228052,294.92839097746986,1205,0.0,0.4829212613648298,0.39918440738296773,0.4370783328129161,0.6009002115740781,0.34884095427377704,0.4630664292185082,0.48703873829506944,21,1,21.0,20,0.8855323225835428,0.7170545835396125,0.44841132935595085,0.5558092803995462,0.6836660784930354,0.6919941902207649,0.8018663067911835,0.37585954185296927
auto_00009,early_exit_28,crmarena,"### Persona
You are communication-focused, valuing clear and transparent information sharing.

### Required context
## Lead qualification guide.
        Look for the voice call transcripts with the lead and relevant knowledge articles to justify the lead qualification.
        
        - Lead Id to be considered is: 00QWt00000894vyMAA

### Optional context
# Domain Details
## Quarters of the Year
- Q1: January 1 to March 31 (both inclusive).
- Q2: April 1 to June 30 (both inclusive).
- Q3: July 1 to September 30 (both inclusive).
- Q4: October 1 to December 31 (both inclusive).
## Seasons
- Winter (2024): December 1, 2024 to February 28/29, 2025 (both inclusive), specifying the year to avoid ambiguity.
- Spring: March 1 to May 31 (both inclusive).
- Summer: June 1 to August 31 (both inclusive).
- Autumn/Fall: September 1 to November 30 (both inclusive).
## Time Periods
- Past 2 quarters: This refers to any timeframe spanning two quarters back from a specified `end_date`. (i.e. begins on the date calculated by subtracting six months from the end_date and ends on the end_date) That translates to a six-month period retrospectively from the `end_date`.
- Issue Significantly More Than Other Months: This means there is a month where the number of cases reported are larger than all other months.

### Question
Considering the lead's recent discussions, is this lead eligible for qualification? If the lead is not qualified, identify whether 'Budget', 'Authority', 'Need', or 'Timeline' are the contributing factors. Return only one or several of the four BANT factors that the lead qualification fails to meet (i.e. 'Budget', 'Authority', 'Need', 'Timeline').","Thank you for contacting us. I understand your concern about ### Persona
You are communication-focused, valuing... We'll resolve this quickly.",Need,1753655905.652477,0.21849147783985307,0.19027372789510372,12.015462607336284,0.030107331185990675,314.69039500321134,3781,0.0,0.4260323490170128,0.38288586572299477,0.40330842304449427,0.46271124480255876,0.31410695683562617,0.3898552795654968,0.4072983420513638,20,1,20.0,19,0.5181746193400303,0.25638989135850265,0.8669969497711187,0.6464155322677984,0.5471871534898839,0.498737836964198,0.8434253716397968,0.6056368878439118
